,short_name,version,message,opendap_url
602,M2TUNPMST,5.12.4,success,https://goldsmr5.gesdisc.eosdis.nasa.gov/opendap/MERRA2_DIURNAL/M2TUNPMST.5.12.4/1980/MERRA2_100.tavgU_3d_mst_Np.198001.nc4
603,M2TUNPODT,5.12.4,success,https://goldsmr5.gesdisc.eosdis.nasa.gov/opendap/MERRA2_DIURNAL/M2TUNPODT.5.12.4/1980/MERRA2_100.tavgU_3d_odt_Np.198001.nc4
604,M2TUNPQDT,5.12.4,success,https://goldsmr5.gesdisc.eosdis.nasa.gov/opendap/MERRA2_DIURNAL/M2TUNPQDT.5.12.4/1980/MERRA2_100.tavgU_3d_qdt_Np.198001.nc4
605,M2TUNPRAD,5.12.4,success,https://goldsmr5.gesdisc.eosdis.nasa.gov/opendap/MERRA2_DIURNAL/M2TUNPRAD.5.12.4/1980/MERRA2_100.tavgU_3d_rad_Np.198001.nc4
606,M2TUNPTDT,5.12.4,success,https://goldsmr5.gesdisc.eosdis.nasa.gov/opendap/MERRA2_DIURNAL/M2TUNPTDT.5.12.4/1980/MERRA2_100.tavgU_3d_tdt_Np.198001.nc4
607,M2TUNPTRB,5.12.4,success,https://goldsmr5.gesdisc.eosdis.nasa.gov/opendap/MERRA2_DIURNAL/M2TUNPTRB.5.12.4/1980/MERRA2_100.tavgU_3d_trb_Np.198001.nc4
608,M2TUNPUDT,5.12.4,success,https://goldsmr5.gesdisc.eosdis.nasa.gov/opendap/MERRA2_DIURNAL/M2TUNPUDT.5.12.4/1980/MERRA2_100.tavgU_3d_udt_Np.198001.nc4
609,CMS_CH4_FLX_CA,1,unable to decode time units 'years since 2013-1-1 0:0:0' with 'the default calendar'. Try opening your dataset with decode_times=False or installing cftime if it is not installed.,https://acdisc.gesdisc.eosdis.nasa.gov/opendap/CMS/CMS_CH4_FLX_CA.1//CMS_CH4_FLX_CA_2013.nc
610,CMS_CH4_FLX_MX,1,unable to decode time units 'years since 2010-1-1 0:0:0' with 'the default calendar'. Try opening your dataset with decode_times=False or installing cftime if it is not installed.,https://acdisc.gesdisc.eosdis.nasa.gov/opendap/CMS/CMS_CH4_FLX_MX.1//CMS_CH4_FLX_MX_2010.nc
611,ML3DZMBRO,005,success,https://acdisc.gesdisc.eosdis.nasa.gov/opendap/HDF-EOS5/Aura_MLS_Level3/ML3DZMBRO.005/2004/MLS-Aura_L3ZMRAR-BrO_v05-00-c01_2004d215.nc4
612,ML3DZMHO2,005,success,https://acdisc.gesdisc.eosdis.nasa.gov/opendap/HDF-EOS5/Aura_MLS_Level3/ML3DZMHO2.005/2004/MLS-Aura_L3ZMRAR-HO2_v05-00-c01_2004d215.nc4
613,ML2BRO,004,success,https://acdisc.gesdisc.eosdis.nasa.gov/opendap/HDF-EOS5/Aura_MLS_Level2/ML2BRO.004/2004/MLS-Aura_L2GP-BrO_v04-20-c01_2004d215.he5
614,ML2BRO,005,success,https://acdisc.gesdisc.eosdis.nasa.gov/opendap/HDF-EOS5/Aura_MLS_Level2/ML2BRO.005/2004/MLS-Aura_L2GP-BrO_v05-01-c01_2004d215.he5
615,ML2CO,004,success,https://acdisc.gesdisc.eosdis.nasa.gov/opendap/HDF-EOS5/Aura_MLS_Level2/ML2CO.004/2004/MLS-Aura_L2GP-CO_v04-20-c01_2004d215.he5
616,ML2CO,005,success,https://acdisc.gesdisc.eosdis.nasa.gov/opendap/HDF-EOS5/Aura_MLS_Level2/ML2CO.005/2004/MLS-Aura_L2GP-CO_v05-01-c01_2004d215.he5
617,ML2CLO,004,success,https://acdisc.gesdisc.eosdis.nasa.gov/opendap/HDF-EOS5/Aura_MLS_Level2/ML2CLO.004/2004/MLS-Aura_L2GP-ClO_v04-20-c01_2004d215.he5
618,ML2CLO,005,success,https://acdisc.gesdisc.eosdis.nasa.gov/opendap/HDF-EOS5/Aura_MLS_Level2/ML2CLO.005/2004/MLS-Aura_L2GP-ClO_v05-01-c01_2004d215.he5
619,ML2IWC,004,success,https://acdisc.gesdisc.eosdis.nasa.gov/opendap/HDF-EOS5/Aura_MLS_Level2/ML2IWC.004/2004/MLS-Aura_L2GP-IWC_v04-20-c01_2004d215.he5
620,ML2IWC,005,success,https://acdisc.gesdisc.eosdis.nasa.gov/opendap/HDF-EOS5/Aura_MLS_Level2/ML2IWC.005/2004/MLS-Aura_L2GP-IWC_v05-01-c01_2004d215.he5
621,ML2GPH,004,success,https://acdisc.gesdisc.eosdis.nasa.gov/opendap/HDF-EOS5/Aura_MLS_Level2/ML2GPH.004/2004/MLS-Aura_L2GP-GPH_v04-20-c01_2004d215.he5
622,ML2GPH,005,success,https://acdisc.gesdisc.eosdis.nasa.gov/opendap/HDF-EOS5/Aura_MLS_Level2/ML2GPH.005/2004/MLS-Aura_L2GP-GPH_v05-01-c01_2004d215.he5
623,ML2HCL,004,success,https://acdisc.gesdisc.eosdis.nasa.gov/opendap/HDF-EOS5/Aura_MLS_Level2/ML2HCL.004/2004/MLS-Aura_L2GP-HCl_v04-20-c01_2004d215.he5
624,ML2HCL,005,success,https://acdisc.gesdisc.eosdis.nasa.gov/opendap/HDF-EOS5/Aura_MLS_Level2/ML2HCL.005/2004/MLS-Aura_L2GP-HCl_v05-01-c01_2004d215.he5
625,ML2HCN,004,success,https://acdisc.gesdisc.eosdis.nasa.gov/opendap/HDF-EOS5/Aura_MLS_Level2/ML2HCN.004/2004/MLS-Aura_L2GP-HCN_v04-20-c01_2004d215.he5
626,ML2HCN,005,success,https://acdisc.gesdisc.eosdis.nasa.gov/opendap/HDF-EOS5/Aura_MLS_Level2/ML2HCN.005/2004/MLS-Aura_L2GP-HCN_v05-01-c01_2004d215.he5
627,ML2HO2,004,success,https://acdisc.gesdisc.eosdis.nasa.gov/opendap/HDF-EOS5/Aura_MLS_Level2/ML2HO2.004/2004/MLS-Aura_L2GP-HO2_v04-20-c01_2004d215.he5
628,ML2HO2,005,success,https://acdisc.gesdisc.eosdis.nasa.gov/opendap/HDF-EOS5/Aura_MLS_Level2/ML2HO2.005/2004/MLS-Aura_L2GP-HO2_v05-01-c01_2004d215.he5
629,ML2OH,004,success,https://acdisc.gesdisc.eosdis.nasa.gov/opendap/HDF-EOS5/Aura_MLS_Level2/ML2OH.004/2004/MLS-Aura_L2GP-OH_v04-20-c01_2004d215.he5
630,ML2OH,005,success,https://acdisc.gesdisc.eosdis.nasa.gov/opendap/HDF-EOS5/Aura_MLS_Level2/ML2OH.005/2004/MLS-Aura_L2GP-OH_v05-01-c01_2004d215.he5
631,ML2HOCL,004,success,https://acdisc.gesdisc.eosdis.nasa.gov/opendap/HDF-EOS5/Aura_MLS_Level2/ML2HOCL.004/2004/MLS-Aura_L2GP-HOCl_v04-20-c01_2004d215.he5
632,ML2HOCL,005,success,https://acdisc.gesdisc.eosdis.nasa.gov/opendap/HDF-EOS5/Aura_MLS_Level2/ML2HOCL.005/2004/MLS-Aura_L2GP-HOCl_v05-01-c01_2004d215.he5
633,ML2CH3OH,004,success,https://acdisc.gesdisc.eosdis.nasa.gov/opendap/HDF-EOS5/Aura_MLS_Level2/ML2CH3OH.004/2004/MLS-Aura_L2GP-CH3OH_v04-20-c01_2004d215.he5
634,ML2CH3OH,005,success,https://acdisc.gesdisc.eosdis.nasa.gov/opendap/HDF-EOS5/Aura_MLS_Level2/ML2CH3OH.005/2004/MLS-Aura_L2GP-CH3OH_v05-01-c01_2004d215.he5
635,ML2CH3CL,004,success,https://acdisc.gesdisc.eosdis.nasa.gov/opendap/HDF-EOS5/Aura_MLS_Level2/ML2CH3CL.004/2004/MLS-Aura_L2GP-CH3Cl_v04-20-c01_2004d215.he5
